Ref,Val,Package,PosX,PosY,Rot,Side
"C16","100nF","C_0603_1608Metric",79.690000,-114.970000,180.000000,bottom
"C20","100nF","C_0603_1608Metric",79.675000,-109.030000,180.000000,bottom
"C21","100nF","C_0603_1608Metric",82.250000,-107.650000,90.000000,bottom
"C22","100nF","C_0603_1608Metric",85.170000,-107.655000,90.000000,bottom
"C23","100nF","C_0603_1608Metric",86.630000,-107.655000,90.000000,bottom
"C24","100nF","C_0603_1608Metric",88.090000,-107.655000,90.000000,bottom
"C25","100nF","C_0603_1608Metric",89.970000,-109.900000,0.000000,bottom
"C26","100nF","C_0603_1608Metric",79.675000,-110.500000,180.000000,bottom
"C27","100nF","C_0603_1608Metric",79.670000,-113.470000,180.000000,bottom
"C28","100nF","C_0603_1608Metric",89.990000,-114.300000,0.000000,bottom
"C29","100nF","C_0603_1608Metric",89.980000,-115.780000,0.000000,bottom
"C30","100nF","C_0603_1608Metric",79.690000,-118.030000,180.000000,bottom
"C31","100nF","C_0603_1608Metric",83.250000,-118.040000,-90.000000,bottom
"C32","100nF","C_0603_1608Metric",84.760000,-118.035000,-90.000000,bottom
"C33","100nF","C_0603_1608Metric",87.750000,-118.030000,-90.000000,bottom
"C34","100nF","C_0603_1608Metric",89.980000,-112.840000,0.000000,bottom
"C35","100nF","C_0603_1608Metric",79.700000,-116.500000,180.000000,bottom
"C36","100nF","C_0603_1608Metric",83.710000,-107.660000,90.000000,bottom
"C37","100nF","C_0603_1608Metric",89.980000,-111.380000,0.000000,bottom
"C38","100nF","C_0603_1608Metric",86.270000,-118.030000,-90.000000,bottom
"C39","100nF","C_0603_1608Metric",79.670000,-111.970000,180.000000,bottom
