Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10pF","C_0603_1608Metric",77.390000,-72.990000,180.000000,T
"C2","22pF","C_0603_1608Metric",68.425000,-79.010000,0.000000,T
"C3","22nF","C_0603_1608Metric",91.405000,-88.975000,90.000000,T
"C4","22nF","C_0603_1608Metric",84.330000,-89.090000,90.000000,T
"C5","100nF","C_0402_1005Metric",90.345000,-98.815000,-90.000000,T
"C6","100nF","C_0402_1005Metric",83.200000,-98.910000,-90.000000,T
"C7","22nF","C_0603_1608Metric",78.070000,-89.200000,90.000000,T
"C8","22nF","C_0603_1608Metric",98.160000,-88.710000,90.000000,T
"C9","100nF","C_0402_1005Metric",76.930000,-99.040000,-90.000000,T
"C10","100nF","C_0402_1005Metric",97.030000,-98.540000,-90.000000,T
"C11","100nF","C_0402_1005Metric",102.970000,-73.680000,-90.000000,T
"C12","100nF","C_0402_1005Metric",100.810000,-74.440000,0.000000,T
"C13","15pF","C_0603_1608Metric",79.530000,-111.980000,90.000000,T
"C14","15pF","C_0603_1608Metric",79.540000,-114.935000,-90.000000,T
"C15","100nF","C_0402_1005Metric",72.710000,-97.250000,90.000000,T
"C17","2.2uF","C_0603_1608Metric",83.290000,-106.830000,90.000000,T
"C18","2.2uF","C_0603_1608Metric",90.795000,-111.380000,0.000000,T
"C19","2.2uF","C_0603_1608Metric",86.290000,-118.900000,-90.000000,T
"C40","220uF","CP_Elec_6.3x5.4",96.500000,-80.390000,90.000000,T
"C41","22uF","C_0805_2012Metric",104.800000,-73.300000,90.000000,T
"D1","LED_RGBA","LED_RGB_1210",98.020000,-122.080000,-90.000000,T
"R1","5.1k","R_0603_1608Metric",79.990000,-71.370000,180.000000,T
"R2","5.1k","R_0603_1608Metric",87.200000,-83.845000,-90.000000,T
"R3","60R","R_0603_1608Metric",89.905000,-88.975000,-90.000000,T
"R4","60R","R_0603_1608Metric",88.405000,-88.975000,90.000000,T
"R5","60R","R_0603_1608Metric",82.830000,-89.090000,-90.000000,T
"R6","60R","R_0603_1608Metric",81.330000,-89.115000,90.000000,T
"R7","60R","R_0603_1608Metric",76.570000,-89.200000,-90.000000,T
"R8","60R","R_0603_1608Metric",75.070000,-89.225000,90.000000,T
"R9","60R","R_0603_1608Metric",96.660000,-88.685000,-90.000000,T
"R10","60R","R_0603_1608Metric",95.160000,-88.685000,90.000000,T
"R11","10k","R_0603_1608Metric",96.260000,-73.090000,0.000000,T
"R12","10k","R_0603_1608Metric",96.240000,-71.570000,0.000000,T
"R13","330R","R_0603_1608Metric",98.180000,-118.350000,0.000000,T
"R14","100R","R_0603_1608Metric",95.590000,-120.490000,-90.000000,T
"R15","100R","R_0603_1608Metric",95.630000,-123.470000,-90.000000,T
"R16","10k","R_0603_1608Metric",71.450000,-89.220000,90.000000,T
"R17","10k","R_0603_1608Metric",71.480000,-96.665000,-90.000000,T
"SW1","DFU","SW_SPST_EVQP2_ShortPushTravel_H2.1mm",68.680000,-87.450000,90.000000,T
"SW2","RESET","SW_SPST_EVQP2_ShortPushTravel_H2.1mm",68.700000,-94.600000,90.000000,T
"U1","AMS1117-3.3","SOT-223-3_TabPin2",71.380000,-74.640000,180.000000,T
"U2","TJA1042T","SOIC-8_3.9x4.9mm_P1.27mm",89.705000,-94.175000,90.000000,T
"U3","TJA1042T","SOIC-8_3.9x4.9mm_P1.27mm",82.580000,-94.290000,90.000000,T
"U4","TJA1042T","SOIC-8_3.9x4.9mm_P1.27mm",76.320000,-94.400000,90.000000,T
"U5","TJA1042T","SOIC-8_3.9x4.9mm_P1.27mm",96.410000,-93.910000,90.000000,T
"U6","LSM6DSOXTR","PQFN50P250X300X86-14N",100.670000,-72.410000,0.000000,T
"U7","STM32H725AGIx","UFBGA-169_7x7mm_Layout13x13_P0.5mm",84.790000,-112.860000,0.000000,T
"USBC1","~","USB-C-SMD_TYPE-C-USB-20",86.260000,-76.255000,180.000000,T
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",76.660000,-113.580000,0.000000,T
"C16","100nF","C_0402_1005Metric",80.220000,-114.150000,180.000000,B
"C20","100nF","C_0402_1005Metric",80.190000,-110.270000,180.000000,B
"C21","100nF","C_0402_1005Metric",82.320000,-108.370000,90.000000,B
"C22","100nF","C_0402_1005Metric",84.270000,-108.350000,90.000000,B
"C23","100nF","C_0402_1005Metric",85.250000,-108.350000,90.000000,B
"C24","100nF","C_0402_1005Metric",86.230000,-108.350000,90.000000,B
"C25","100nF","C_0402_1005Metric",89.400000,-110.400000,0.000000,B
"C26","100nF","C_0402_1005Metric",80.190000,-111.230000,180.000000,B
"C27","100nF","C_0402_1005Metric",80.210000,-113.170000,180.000000,B
"C28","100nF","C_0402_1005Metric",89.390000,-113.900000,0.000000,B
"C29","100nF","C_0402_1005Metric",89.390000,-114.870000,0.000000,B
"C30","100nF","C_0402_1005Metric",80.240000,-116.070000,180.000000,B
"C31","100nF","C_0402_1005Metric",83.280000,-117.510000,-90.000000,B
"C32","100nF","C_0402_1005Metric",84.260000,-117.510000,-90.000000,B
"C33","100nF","C_0402_1005Metric",87.240000,-117.460000,-90.000000,B
"C34","100nF","C_0402_1005Metric",89.390000,-112.940000,0.000000,B
"C35","100nF","C_0402_1005Metric",80.230000,-115.110000,180.000000,B
"C36","100nF","C_0402_1005Metric",83.290000,-108.370000,90.000000,B
"C37","100nF","C_0402_1005Metric",89.410000,-111.370000,0.000000,B
"C38","100nF","C_0402_1005Metric",86.270000,-117.460000,-90.000000,B
"C39","100nF","C_0402_1005Metric",80.180000,-112.200000,180.000000,B
