Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10pF","C_0603_1608Metric",77.390000,-72.990000,180.000000,top
"C2","22pF","C_0603_1608Metric",68.425000,-79.010000,0.000000,top
"C3","22nF","C_0603_1608Metric",91.405000,-88.975000,90.000000,top
"C4","22nF","C_0603_1608Metric",84.330000,-89.090000,90.000000,top
"C5","100nF","C_0603_1608Metric",89.650000,-98.670000,180.000000,top
"C6","100nF","C_0603_1608Metric",82.570000,-98.720000,180.000000,top
"C7","22nF","C_0603_1608Metric",78.070000,-89.200000,90.000000,top
"C8","22nF","C_0603_1608Metric",98.160000,-88.710000,90.000000,top
"C9","100nF","C_0603_1608Metric",76.275000,-98.830000,180.000000,top
"C10","100nF","C_0603_1608Metric",96.380000,-98.380000,180.000000,top
"C11","100nF","C_0603_1608Metric",103.240000,-73.420000,-90.000000,top
"C12","100nF","C_0603_1608Metric",99.180000,-75.470000,-90.000000,top
"C13","15pF","C_0603_1608Metric",79.530000,-111.980000,90.000000,top
"C14","15pF","C_0603_1608Metric",79.540000,-114.935000,-90.000000,top
"C15","100nF","C_0603_1608Metric",72.890000,-96.740000,90.000000,top
"C17","2.2uF","C_0603_1608Metric",83.290000,-106.830000,90.000000,top
"C18","2.2uF","C_0603_1608Metric",90.795000,-111.380000,0.000000,top
"C19","2.2uF","C_0603_1608Metric",86.290000,-118.900000,-90.000000,top
"C40","220uF","CP_Elec_6.3x5.4",96.460000,-80.730000,90.000000,top
"C41","22uF","C_0805_2012Metric",105.150000,-73.390000,90.000000,top
"D1","LED_RGBA","LED_RGB_1210",98.020000,-122.080000,-90.000000,top
"J1","PWR","PinHeader_1x02_P2.54mm_Vertical",68.250000,-122.560000,0.000000,top
"J2","Hat","PinHeader_2x20_P2.54mm_Vertical",102.160000,-76.890000,0.000000,top
"J3","Others","PinHeader_1x08_P2.54mm_Vertical",86.960000,-128.700000,90.000000,top
"J4","Fan","PinHeader_1x03_P2.54mm_Vertical",68.250000,-113.920000,0.000000,top
"J5","Audio","PinHeader_1x07_P2.54mm_Vertical",83.410000,-128.720000,-90.000000,top
"J6","SWD","PinHeader_1x05_P2.54mm_Vertical",68.300000,-100.190000,0.000000,top
"R1","5.1k","R_0603_1608Metric",79.990000,-71.370000,180.000000,top
"R2","5.1k","R_0603_1608Metric",87.200000,-83.845000,-90.000000,top
"R3","60R","R_0603_1608Metric",89.905000,-88.975000,-90.000000,top
"R4","60R","R_0603_1608Metric",88.405000,-88.975000,90.000000,top
"R5","60R","R_0603_1608Metric",82.830000,-89.090000,-90.000000,top
"R6","60R","R_0603_1608Metric",81.330000,-89.115000,90.000000,top
"R7","60R","R_0603_1608Metric",76.570000,-89.200000,-90.000000,top
"R8","60R","R_0603_1608Metric",75.070000,-89.225000,90.000000,top
"R9","60R","R_0603_1608Metric",96.660000,-88.685000,-90.000000,top
"R10","60R","R_0603_1608Metric",95.160000,-88.685000,90.000000,top
"R11","10k","R_0603_1608Metric",96.260000,-73.090000,0.000000,top
"R12","10k","R_0603_1608Metric",96.240000,-71.570000,0.000000,top
"R13","330R","R_0603_1608Metric",98.180000,-118.350000,0.000000,top
"R14","100R","R_0603_1608Metric",95.590000,-120.490000,-90.000000,top
"R15","100R","R_0603_1608Metric",95.630000,-123.470000,-90.000000,top
"R16","10k","R_0603_1608Metric",71.450000,-89.220000,90.000000,top
"R17","10k","R_0603_1608Metric",71.430000,-96.735000,-90.000000,top
"SW1","DFU","SW_SPST_EVQP2_ShortPushTravel_H2.1mm",68.680000,-87.450000,90.000000,top
"SW2","RESET","SW_SPST_EVQP2_ShortPushTravel_H2.1mm",68.700000,-94.600000,90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",71.380000,-74.640000,180.000000,top
"U2","TJA1042T","SOIC-8_3.9x4.9mm_P1.27mm",89.705000,-94.175000,90.000000,top
"U3","TJA1042T","SOIC-8_3.9x4.9mm_P1.27mm",82.580000,-94.290000,90.000000,top
"U4","TJA1042T","SOIC-8_3.9x4.9mm_P1.27mm",76.320000,-94.400000,90.000000,top
"U5","TJA1042T","SOIC-8_3.9x4.9mm_P1.27mm",96.410000,-93.910000,90.000000,top
"U6","LSM6DSOXTR","PQFN50P250X300X86-14N",100.670000,-72.410000,0.000000,top
"U7","STM32H725AGIx","UFBGA-169_7x7mm_Layout13x13_P0.5mm",84.790000,-112.860000,0.000000,top
"USBC1","~","USB-C-SMD_TYPE-C-USB-20",86.260000,-76.255000,180.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",76.660000,-113.580000,0.000000,top
